# Ryanair destinations (sample by country and city)

| Country | City | Primary airport serving the city |
| --- | --- | --- |
| France | Paris | Paris Beauvais Airport |
| France | Marseille | Marseille Provence Airport |
| France | Toulouse | Toulouse–Blagnac Airport |
| Italy | Rome | Rome Ciampino Airport |
| Italy | Milan | Milan Bergamo Airport |
| Italy | Naples | Naples International Airport |
| Spain | Barcelona | Barcelona El Prat Airport |
| Spain | Madrid | Adolfo Suárez Madrid–Barajas Airport |
| Spain | Seville | Seville Airport |
| Ireland | Dublin | Dublin Airport |
| Ireland | Cork | Cork Airport |
| Ireland | Shannon | Shannon Airport |
