# Fallout 4 Commonwealth Places Checklist (Fast-Travel Landmarks)

| Region | Landmark | Nearest Settlement | Threat Level (Approx.) | Notable NPC/Quest Hook |
| --- | --- | --- | --- | --- |
| Northwest | Sanctuary Hills | Sanctuary | Low | Codsworth intro |
| Northwest | Red Rocket Truck Stop | Sanctuary | Low | Dogmeat encounter |
| Northwest | Concord | Sanctuary | Low-Mid | "When Freedom Calls" |
| Downtown | Diamond City | Hangman's Alley | Mid | Piper, main story hub |
| Downtown | Goodneighbor | The Castle / Hangman's Alley | Mid | "The Big Dig" |
| Cambridge | Cambridge Police Station | Hangman's Alley | Mid | Brotherhood introduction |
| South | Quincy Ruins | Jamaica Plain | High | Gunner territory |
| East | The Castle | The Castle | Mid | Minutemen HQ |
| Southwest | Vault 81 | Oberland Station | Mid | Curie questline |
| Coast | Spectacle Island | Warwick Homestead | Mid | Large build area |
| Glowing Sea | Sentinel Site Prescott | Somerville Place | Very High | Endgame area |
| Harbor (DLC) | Far Harbor | Longfellow's Cabin | Mid | DLC main town |
