# List of LGBT characters in film
> F

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| George Falconer | A Single Man | Gay | Film |
| Frau Farbissina | Austin Powers | Lesbian | Film |
| Melville Farr | Victim | Gay | Film |
| Charlie Fineman | Reign Over Me | Bisexual | Film |
| Frank Fitts | American Beauty | Gay | Film |
| Fred | Palo Alto | Bi-curious | Film |
| Derek Foreal | Blow | Gay | Film |
| Dr. Frank-N-Furter | The Rocky Horror Picture Show | Bisexual | Film |
| Robert Frobisher | Cloud Atlas | Bisexual | Film |
