# Alabama Crimson Tide football
> Individual accomplishments

| Name | Time at Alabama | Position | Year Inducted |
| --- | --- | --- | --- |
| Vaughn Mancha | 1944–47 | C | 1990 |
| Johnny Musso | 1969–71 | HB | 2000 |
| Billy Neighbors | 1959–61 | T | 2003 |
| Ozzie Newsome | 1974–77 | SE | 1994 |
| Fred Sington | 1928–30 | T | 1955 |
| Riley Smith | 1934–35 | QB | 1985 |
| Gene Stallings | 1990–96 | Head coach | 2010 |
| Derrick Thomas | 1985–88 | LB | 2014 |
| Frank Thomas | 1931–46 | Head coach | 1951 |
| Wallace Wade | 1923–30 | Head coach | 1955 |
| Don Whitmire | 1941–42 | T | 1956 |
| Marty Lyons | 1975–78 | DT | 2012 |
| Overall [ edit ] Heisman Trophy Mark Ingram (2009) Derrick Henry (2015) Maxwell Award A.J. McCarron (2013) Derrick Henry (2015) Walter Camp Award Derrick Henry (2015) Sporting News Player of the Year Mark Ingram (2009) | Positional [ edit ] Doak Walker Award Trent Richardson (2011) Derrick Henry (2015) Fred Biletnikoff Award Amari Cooper (2014) Butkus Award Derrick Thomas (1988) Rolando McClain (2009) C.J. Mosley (2013) Jim Thorpe Award Antonio Langham (1993) Lombardi Award Cornelius Bennett (1986) Outland Trophy Chris Samuels (1999) Andre Smith (2008) Barrett Jones (2011) Rimington Trophy Barrett Jones (2012) Ryan Kelly (2015) Sammy Baugh Trophy Steve Sloan (1965) Paul Warfield Trophy David Palmer (1993) Amari Cooper (2014) Jim Parker Trophy Andre Smith (2008) Barrett Jones (2011) Jack Lambert Trophy Rolando McClain (2009) Jack Tatum Trophy Antonio Langham (1993) Johnny Unitas Golden Arm Award Jay Barker (1994) A.J. McCarron (2013) Kellen Moore Award A.J. McCarron (2013) | Other [ edit ] Lott Trophy DeMeco Ryans (2005) Wuerffel Trophy Barrett Jones (2011) William V. Campbell Trophy Barrett Jones (2012) Joe Moore Award Offensive Line (2015) | Coaching [ edit ] AFCA Coach of the Year Paul "Bear" Bryant (1961, 1971, 1973) Gene Stallings (1992) Paul "Bear" Bryant Award Gene Stallings (1992) Eddie Robinson Coach of the Year Gene Stallings (1992) Nick Saban (2008) Walter Camp Coach of the Year Gene Stallings (1992) Nick Saban (2008) George Munger Award Gene Stallings (1992) Bobby Dodd Coach of the Year Bill Curry (1989) Nick Saban (2014) AP Coach of the Year Nick Saban (2008) Sporting News Coach of the Year Nick Saban (2008) Home Depot Coach of the Year Nick Saban (2008) Liberty Mutual Coach of the Year Award Nick Saban (2008) Bobby Bowden Coach of the Year Nick Saban (2009, 2011, 2012) Broyles Award Kirby Smart (2009) AFCA Assistant Coach of the Year Kirby Smart (2012) |
