# Talk Radio ( XM )
> Programming Lineup

| ET | PT | Show | Network | Notes |
| --- | --- | --- | --- | --- |
| 5 a.m. | 2 a.m. | Coast to Coast AM with Ian Punnett | Premiere Radio Networks | Replay |
| 9 a.m. | 6 a.m. | At Home with Gary Sullivan | Premiere Radio Networks | Live |
| 12 p.m. | 9 a.m. | The Financial Physician with Lou Scatigna | TheFinancialPhysician.com / Premiere Satellite Radio | Live |
| 1 p.m. | 10 a.m. | Real Estate Today | Media Syndication Services / Premiere Radio Networks | Pre-recorded |
| 3 p.m. | 12 p.m. | Glenn Beck Weekend | Premiere Radio Networks | Best-of |
| 5 p.m. | 2 p.m. | The Jack Abramoff Radio Show | Premiere Satellite Radio | Live |
| 7 p.m. | 4 p.m. | Coast to Coast AM : The Best of George Noory | Premiere Radio Networks | Best-of |
| 10 p.m. | 7 p.m. | Bill Cunningham | Premiere Radio Networks | Live |
| 1 a.m. | 10 p.m. | Coast to Coast AM Sunday edition | Premiere Radio Networks | Live |
