# Media in Seattle
> Radio

| Call sign | Frequency | City of License [14] | Owner | Format [15] |
| --- | --- | --- | --- | --- |
| KVI | 00 ! 570 AM | Seattle | Sinclair | Talk |
| KCIS | 0 ! 630 AM | Edmonds | Crista Ministries | Christian radio |
| KIRO | 0 ! 710 AM | Seattle | Bonneville Communications | Sports ( ESPN Radio ) |
| KTTH | 0 ! 770 AM | Seattle | Bonneville Communications | Talk |
| KGNW | 0 ! 820 AM | Burien, WA | Salem Communications | Christian Radio |
| KHHO | 0 ! 850 AM | Tacoma | iHeartMedia | Sports |
| KIXI | 0 ! 880 AM | Mercer Island | Hubbard Radio | Adult Standards |
| KJR | 0 ! 950 AM | Seattle | iHeartMedia | Sports |
| KOMO | 0 ! 1000 AM | Seattle | Sinclair | All News ( ABC Radio ) |
| KBLE | 0 ! 1050 AM | Seattle |  | Catholic ( EWTN ) |
| KFNQ | 0 ! 1090 AM | Seattle | CBS | Sports ( CBS Sports Radio ) |
| KKNW | 0 ! 1150 AM | Seattle | Hubbard Radio | Talk |
| KMIA | 0 ! 1210 AM | Auburn-Federal Way | Adelente Media Group | Spanish Contemporary |
| KKDZ | 0 ! 1250 AM | Seattle | Universal Media Access | Ethnic |
| KKOL | 0 ! 1300 AM | Seattle | Salem Communications | Talk |
| KKMO | 0 ! 1360 AM | Tacoma |  | Regional Mexican |
| KRKO | 0 ! 1380 AM | Everett |  | Sports |
| KRIZ | 0 ! 1420 AM | Renton | Kris Bennett Broadcasting, Inc. | Urban Adult Contemporary |
| KARR | 0 ! 1460 AM | Kirkland | Family Stations, Inc. | Christian Radio |
| KBRO | 0 ! 1490 AM | Bremerton |  | Spanish sports ( ESPN Deportes Radio ) |
| KKXA | 0 ! 1520 AM | Snohomish |  | Classic country |
| KXPA | 0 ! 1540 AM | Bellevue | Multicultural Broadcasting | Ethnic |
| KLFE | 0 ! 1590 AM | Seattle | Salem Communications | Christian talk |
| KYIZ | 0 ! 1620 AM | Renton | Kris Bennett Broadcasting, Inc. | Urban Contemporary |
| KNTS | 00 ! 1680 AM | Seattle | Salem Communications | Spanish Christian talk |
