# Selected Cruise Lines and Operators (Company Overview)

| Cruise line (brand) | Parent company / group | Operating status | Headquarters (city, country) | Primary market/region | Notes |
|---|---|---|---|---|---|
| Carnival Cruise Line | Carnival Corporation & plc | Operating | Miami, United States | North America | Mass-market contemporary cruising |
| Princess Cruises | Carnival Corporation & plc | Operating | Santa Clarita, United States | North America / Global | Premium segment; Alaska strong presence |
| Holland America Line | Carnival Corporation & plc | Operating | Seattle, United States | North America | Premium; Alaska and longer itineraries |
| Cunard Line | Carnival Corporation & plc | Operating | Southampton, United Kingdom | UK / Global | Ocean liner heritage; transatlantic crossings |
| P&O Cruises (UK) | Carnival Corporation & plc | Operating | Southampton, United Kingdom | United Kingdom | UK-focused contemporary brand |
| Costa Cruises | Carnival Corporation & plc | Operating | Genoa, Italy | Europe | Italy-based, Mediterranean focus |
| MSC Cruises | MSC Group | Operating | Geneva, Switzerland | Europe / Global | Privately held; fast-growing global fleet |
| Celebrity Cruises | Royal Caribbean Group | Operating | Miami, United States | North America / Global | Premium; sister brand to Royal Caribbean |
| Norwegian Cruise Line | Norwegian Cruise Line Holdings | Operating | Miami, United States | North America / Global | Contemporary; known for “Freestyle Cruising” |
| Oceania Cruises | Norwegian Cruise Line Holdings | Operating | Miami, United States | North America / Global | Upper-premium; destination-focused dining |
| Disney Cruise Line | The Walt Disney Company | Operating | Celebration, United States | North America | Family-focused; themed entertainment |
| Viking Ocean Cruises | Viking | Operating | Basel, Switzerland | North America / Europe | Adults-focused; ocean + river operator |
