# GCSE and A Level Subject Options (Secondary School) — Subject List Overview

| Stage | Subject area | Subjects offered |
| --- | --- | --- |
| GCSE | Core | English Language; English Literature; Mathematics; Combined Science |
| GCSE | Science (separate) | Biology; Chemistry; Physics |
| GCSE | Humanities | History; Geography; Religious Studies |
| GCSE | Languages | French; Spanish; German |
| GCSE | Arts | Art & Design; Drama; Music |
| GCSE | Technology & Computing | Design & Technology; Food Preparation & Nutrition; Computer Science |
| GCSE | Sport | Physical Education |
| A Level | Sciences | Biology; Chemistry; Physics; Psychology |
| A Level | Mathematics | Mathematics; Further Mathematics |
| A Level | Humanities | History; Geography; Politics; Sociology |
| A Level | Languages | French; Spanish |
| A Level | Arts | Fine Art; Music; Drama and Theatre |
| A Level | Business & Computing | Economics; Business; Computer Science |
