# KXYZ-TV (Example) — Cable and Satellite Channel Positions

| Distributor (TV Provider) | Market / System Notes | SD Channel | HD Channel | Alternate / Notes |
| --- | --- | --- | --- | --- |
| Comcast Xfinity | Denver, CO | 12 | 812 | Some systems use 658 for HD |
| Spectrum (Charter) | Los Angeles, CA | 15 | 1015 | Channel varies by region |
| Cox Communications | Phoenix, AZ | 9 | 1009 | HD may require Contour lineup |
| Verizon FiOS | New York, NY | 7 | 507 | SD/HD split shown |
| DirecTV | Nationwide | 23 | 23 | Same position for SD/HD |
| Dish Network | Nationwide | 41 | 41 | Same position for SD/HD |
| AT&T U-verse | Houston, TX | 12 | 1012 | Some areas use 1212 for SD |
| Frontier FiOS (where available) | Tampa, FL | 7 | 507 | Former Verizon systems |
| Mediacom | Des Moines, IA | 14 | 814 | HD placement can differ |
| Cable ONE (Sparklight) | Boise, ID | 6 | 606 | Legacy systems may differ |
