# U.S. States and Their Relationship to the Confederate States of America (CSA) by Secession Status

| Region grouping | State | Confederate side? | Secession from U.S. | CSA membership/position | Notes |
| --- | --- | --- | --- | --- | --- |
| Lower South (seceded early) | South Carolina | Yes | Seceded | Founding CSA member | First state to secede; hosted the first shots at Fort Sumter |
| Lower South (seceded early) | Mississippi | Yes | Seceded | Founding CSA member | Seceded January 1861 |
| Lower South (seceded early) | Florida | Yes | Seceded | Founding CSA member | Seceded January 1861 |
| Lower South (seceded early) | Alabama | Yes | Seceded | Founding CSA member | Montgomery served as the first CSA capital |
| Lower South (seceded early) | Georgia | Yes | Seceded | Founding CSA member | Seceded January 1861 |
| Lower South (seceded early) | Louisiana | Yes | Seceded | Founding CSA member | Seceded January 1861 |
| Lower South (seceded early) | Texas | Yes | Seceded | Joined after formation | Admitted to CSA March 1861 |
| Upper South (joined later) | Virginia | Yes | Seceded | Joined after formation | Seceded after Fort Sumter; Richmond became CSA capital |
| Upper South (joined later) | Arkansas | Yes | Seceded | Joined after formation | Seceded May 1861 |
| Upper South (joined later) | Tennessee | Yes | Seceded | Joined after formation | Seceded June 1861 |
| Upper South (joined later) | North Carolina | Yes | Seceded | Joined after formation | Seceded May 1861 |
| Border slave state | Missouri | Mixed/contested | Did not formally secede (state govt.) | Not a CSA state (recognized Confederate govt. claim) | Competing Union and pro-Confederate governments |
| Border slave state | Kentucky | Mixed/contested | Did not formally secede (state govt.) | Not a CSA state (recognized Confederate govt. claim) | Claimed by CSA; remained officially in Union |
| Border slave state | Maryland | No | Did not secede | Union state | Slave state that stayed in the Union |
| Border slave state | Delaware | No | Did not secede | Union state | Slave state that stayed in the Union |
