# Need for Speed — Selected Entries and Spin-offs with Exact Release Dates (Full Dates, Chronological)

| # | Game title | Release date (DD/MM/YYYY) | Category |
|---:|---|---|---|
| 1 | Need for Speed: Shift | 15/09/2009 | Spin-off (Shift sub-series) |
| 2 | Need for Speed: Nitro | 17/11/2009 | Spin-off |
| 3 | Need for Speed: World | 27/07/2010 | Spin-off (online) |
| 4 | Need for Speed: Shift 2 Unleashed | 29/03/2011 | Spin-off (Shift sub-series) |
| 5 | Need for Speed: Most Wanted (2012) | 30/10/2012 | Mainline re-imagining |
| 6 | Need for Speed (2015) | 03/11/2015 | Mainline reboot-style |
| 7 | Need for Speed Payback | 10/11/2017 | Mainline |
| 8 | Need for Speed Heat | 08/11/2019 | Mainline |
| 9 | Need for Speed Unbound | 02/12/2022 | Mainline |
