# Guitar Hero II — Main Setlist (Selected Playable Songs)

| Year | Song title | Artist | In-game note |
|---:|---|---|---|
| 1968 | "Heart Full of Soul" | The Yardbirds | Cover/performance varies by version |
| 1981 | "Ace of Spades" | Motörhead | Commonly listed as a signature hard track |
| 1983 | "Carry On Wayward Son" | Kansas | Frequently used as a late-career setlist staple |
| 1994 | "Girlfriend" | Matthew Sweet | Included as a playable track |
| 2004 | "Beast and the Harlot" | Avenged Sevenfold | Often appears in higher difficulties |
| 2006 | "Woman" | Wolfmother | Modern rock selection |
| 2006 | "Dead!" | My Chemical Romance | Included as a playable track |
| 2001 | "The Middle" | Jimmy Eat World | Included as a playable track |
| 2005 | "Free Bird" | Lynyrd Skynyrd | Long-form finale-style track |
| 2005 | "John the Fisherman" | Primus | Included as a playable track |
