# OEM Wheel Specs by Model Year Range  Rim Diameter Width, PCD, and Offset (ET)

| Manufacturer | Vehicle (Trim/Gen) | Year / Year Range | OEM Rim Spec | Bolt Pattern / PCD | Offset (ET, mm) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Toyota | Corolla (E140/E150) | 2009–2013 | 6Jx15 | 5x114.3 | ET39 | Common base wheel spec |
| Toyota | Camry (XV50) | 2012–2017 | 7Jx17 | 5x114.3 | ET45 | Typical OEM 17-inch setup |
| Nissan | Altima (L32) | 2007–2012 | 6.5Jx16 | 5x114.3 | ET45 | Mid-size sedan fitment |
| Nissan | 370Z (Z34) | 2009–2020 | Front: 8Jx18; Rear: 9Jx18 | 5x114.3 | Front ET43; Rear ET15 | Staggered OEM wheels |
| Mazda | Mazda3 (BL) | 2010–2013 | 6.5Jx16 | 5x114.3 | ET52.5 | OE offset often high positive |
| Hyundai | Elantra (MD/UD) | 2011–2016 | 6Jx15 | 5x114.3 | ET46 | Compact car OEM spec |
| Kia | Sportage (SL) | 2011–2016 | 6.5Jx17 | 5x114.3 | ET48 | Crossover OEM fitment |
| Mercedes-Benz | C-Class (W204) | 2008–2014 | 7.5Jx17 | 5x112 | ET47 | Includes full rim + PCD + ET |
| Jeep | Wrangler (JK) | 2007–2018 | 7.5Jx17 | 5x127 | ET44 | Full fitment (not just bolt pattern) |
