# Republican National Committee (RNC) — Chairmen and Terms of Office (Selected Timeline)

| # | RNC Chair | Term (start–end) | Notes |
|---:|---|---|---|
| 41 | Meade Alcorn | 1957–1959 | National committee chairmanship |
| 42 | Thruston B. Morton | 1959–1961 | Oversaw party organization heading into 1960 election cycle |
| 43 | William E. Miller | 1961–1964 | Later became 1964 Republican vice-presidential nominee |
| 44 | Dean Burch | 1964–1965 | Served during post-1964 rebuilding period |
| 45 | Ray C. Bliss | 1965–1969 | Credited with strengthening RNC operations |
| 46 | Rogers C. B. Morton | 1969–1972 | Chaired during early Nixon era |
| 47 | George H. W. Bush | 1973–1974 | Later U.S. President |
| 48 | Mary Louise Smith | 1974–1977 | First woman to serve as RNC chair |
| 49 | Bill Brock | 1977–1981 | Chaired through the 1980 election |
| 50 | Richard Richards | 1981–1983 | Early Reagan administration period |
| 51 | Frank Fahrenkopf | 1983–1989 | Long-serving chair in the 1980s |
| 52 | Lee Atwater | 1989–1991 | Chaired at start of George H. W. Bush presidency |
| 53 | Richard Bond | 1991–1992 | Short term |
| 54 | Haley Barbour | 1993–1997 | Later Mississippi governor |
| 55 | Jim Nicholson | 1997–2000 | Served through 2000 cycle |
| 56 | Marc Racicot | 2001–2003 | Early George W. Bush era |
| 57 | Ed Gillespie | 2003–2005 | Led during 2004 campaign period |
| 58 | Ken Mehlman | 2005–2007 | Chaired mid-2000s |
| 59 | Mike Duncan | 2007–2009 | Led heading into 2008 election |
| 60 | Michael Steele | 2009–2011 | First Black RNC chair |
| 61 | Reince Priebus | 2011–2017 | Led through 2016 election |
| 62 | Ronna Romney McDaniel | 2017–2024 | Multiple successive terms |
| 63 | Michael Whatley | 2024–present | Current chair (as of 2024) |
