# Grand Slam Singles Titles Leaders (Men) — Open Era & All-Time Greats

| Rank | Player | Grand Slam singles titles | Tour | Era/Notes |
|---:|---|---:|---|---|
| 1 | Novak Djokovic | 24 | ATP | Open Era record-holder |
| 2 | Rafael Nadal | 22 | ATP | Most French Open men’s singles titles |
| 3 | Roger Federer | 20 | ATP | Dominant 2000s–2010s |
| 4 | Pete Sampras | 14 | ATP | Led men’s record before Federer |
| 5 | Roy Emerson | 12 | ATP | Many titles pre-Open Era |
| 6 | Rod Laver | 11 | ATP | Achieved calendar Grand Slam twice |
| 7 | Björn Borg | 11 | ATP | Wimbledon + Roland Garros dominance |
| 8 | Jimmy Connors | 8 | ATP | Long-spanning career |
| 9 | Ivan Lendl | 8 | ATP | Major champion across hard/clay |
| 10 | Andre Agassi | 8 | ATP | Career Grand Slam winner |
| 11 | John McEnroe | 7 | ATP | Peak early 1980s |
| 12 | Mats Wilander | 7 | ATP | Won majors on three surfaces |
