# High-Zinc Foods (Per 100 g With DV%, No Serving Sizes)

| Food | Zinc (mg) | %DV | Basis | Source Type |
|---|---:|---:|---|---|
| Fortified cereal | 52.0 | 345% | per 100 g | fortified |
| Oysters, cooked | 78.6 | 524% | per 100 g | seafood |
| Beef, lean, cooked | 12.3 | 82% | per 100 g | meat |
| Veal liver, cooked | 11.9 | 79% | per 100 g | organ meat |
| Watermelon seeds | 10.2 | 68% | per 100 g | seeds |
| Pumpkin & squash seeds | 10.3 | 69% | per 100 g | seeds |
| Venison, cooked | 8.6 | 58% | per 100 g | game meat |
| Veal, cooked | 7.4 | 49% | per 100 g | meat |
| Mozzarella | 2.9 | 19% | per 100 g | dairy |
| Milk | 0.4 | 3% | per 100 g | dairy |
