# Stanford University — Average Salaries by Degree Major (Alumni-Reported)

| Degree/Major Subject (Stanford University) | Typical Early-Career Salary (USD) | Typical Mid-Career Salary (USD) |
| --- | ---: | ---: |
| Bachelor of Science (BS), Computer Science | $120,000 | $205,000 |
| Bachelor of Science (BS), Electrical Engineering | $110,000 | $190,000 |
| Bachelor of Arts (BA), Economics | $95,000 | $175,000 |
| Bachelor of Science (BS), Mechanical Engineering | $102,000 | $180,000 |
| Master of Science (MS), Computer Science | $150,000 | $230,000 |
| Master of Business Administration (MBA) | $175,000 | $260,000 |
| Doctor of Philosophy (PhD), Engineering | $135,000 | $210,000 |
| Bachelor of Arts (BA), Psychology | $72,000 | $120,000 |
| Bachelor of Arts (BA), Political Science | $80,000 | $140,000 |
