# MSW-Track Licensure Roles  Salary Ranges by Credential (LMSW vs LCSW) and Practice Setting (U.S.)

| Practice Setting | MSW Credential Track | Common Role Label (MSW-Central) | Typical Licensure Status | Salary Range (USD) | Notes |
| --- | --- | --- | --- | --- | --- |
| Community Mental Health | Clinical MSW | MSW Clinical Social Worker | LMSW (pre-clinical) | $48,000 - $62,000 | Often supervised hours toward LCSW |
| Community Mental Health | Clinical MSW | Licensed Clinical Social Worker (LCSW) | LCSW | $62,000 - $86,000 | Independent clinical practice eligibility |
| Hospital / Medical | Medical MSW | Medical Social Worker (MSW) | LMSW/LCSW | $58,000 - $78,000 | Discharge planning + biopsychosocial assessment |
| Behavioral Health / Psychiatry | Clinical MSW | Psychiatric Social Worker (MSW/LCSW) | LCSW preferred | $65,000 - $95,000 | Higher end in unionized/public systems |
| Child & Family Services | Clinical MSW | Child & Family Therapist (MSW) | LMSW/LCSW | $52,000 - $74,000 | MSW used as core qualifying degree |
| School-Based Services | Clinical MSW | School Social Worker (MSW) | LMSW/State school credential | $50,000 - $72,000 | Often requires MSW + state certification |
| Substance Use Treatment | Clinical MSW | Substance Use Counselor (MSW-track) | LMSW/LCSW | $54,000 - $76,000 | MSW path used for counseling roles |
| Government / Public Sector | Clinical MSW | Clinical Social Worker (MSW, public sector) | LMSW/LCSW | $60,000 - $88,000 | Step schedules can raise totals |
| Private Practice | Clinical MSW | LCSW Therapist (Private Practice) | LCSW | $70,000 - $120,000 | Wide range; depends on caseload/payer mix |
