# Fallout 4  Companion Recruitment & Affinity Tips (Where to Meet Them)

| Companion | Where to Recruit | Affinity Trigger (Example) | Companion Perk | Notes |
| --- | --- | --- | --- | --- |
| Preston Garvey | Museum of Freedom (Concord) | Help settlements | United We Stand | Leads Minutemen quests |
| Codsworth | Sanctuary Hills | Mod weapons/armor | Robot Sympathy | Available after leaving Vault 111 |
| Piper | Publick Occurrences (Diamond City) | Discover locations | Gift of Gab | Can be recruited after interview |
| Nick Valentine | Vault 114 (Park Street Station) | Hack terminals | Close to Metal | Main story tied |
| MacCready | The Third Rail (Goodneighbor) | Pick locks | Killshot | Requires cap payment |
| Curie | Vault 81 / Miss Nanny lab | Heal allies | Combat Medic | Transfers to synth body later |
| Hancock | Old State House (Goodneighbor) | Use chems | Isodoped | Mayor of Goodneighbor |
| Paladin Danse | Cambridge Police Station | Join Brotherhood | Know Your Enemy | Brotherhood questline |
| Deacon | Old North Church (Railroad HQ) | Use disguises | Cloak & Dagger | Railroad questline |
| Strong | Trinity Tower | Eat corpses | Berserk | Super Mutant companion |
| Cait | Combat Zone (Boston) | Be rude/violent | Trigger Rush | Requires arena event |
| X6-88 | The Institute | Support Institute | Shield Harmonics | Institute route required |
