# State and Local Government Combined Debt (Not State Government Debt Alone)

| State | Total state+local debt outstanding (USD) | State+local debt per capita (USD) | Local share (%) | Coverage notes |
|---|---:|---:|---:|---|
| California | 1,120,000,000,000 | 28,600 | 54 | Includes counties, cities, school districts |
| Texas | 690,000,000,000 | 22,900 | 61 | Includes special districts |
| New York | 960,000,000,000 | 49,000 | 58 | Includes NYC-related authorities |
| Florida | 420,000,000,000 | 19,000 | 66 | Local utilities included |
| Illinois | 520,000,000,000 | 40,600 | 63 | Overlapping debt not netted |
| Ohio | 360,000,000,000 | 30,600 | 69 | School district debt included |
| Colorado | 210,000,000,000 | 36,900 | 73 | Local districts dominate |
| Arizona | 180,000,000,000 | 24,000 | 70 | Municipal + county + schools |
| Georgia | 240,000,000,000 | 21,900 | 72 | Authorities included |
