# LINDOR Truffles (Mixed Bag ID Guide)  Wrapper Appearance to Flavor Variety

| Wrapper look (main color/pattern) | Variety / name | Taste notes (brief) | Notes (seasonal/LE) |
|---|---|---|---|
| Red foil (solid) | Milk Chocolate | Classic milk chocolate shell with smooth milk truffle center | Core variety |
| Blue foil (solid) | Dark Chocolate | Dark chocolate shell with dark truffle filling | Core variety |
| Black foil (solid) | Extra Dark 60% | Deeper cocoa shell with richer dark center | Core variety |
| White foil (solid) | White Chocolate | White chocolate shell with sweet creamy white center | Core variety |
| Light blue foil (solid) | Stracciatella | White shell with cocoa crisp pieces; creamy white center | Core variety |
| Gold foil with blue accents/banding | Cinnamon | Sweet cinnamon-spice truffle profile | Often winter seasonal |
| Green foil (solid) | Mint | Cool mint-chocolate balance | Common in assorted packs |
| Brown foil with repeating "Hazelnut" text | Hazelnut | Nutty praline-like center with chocolate shell | Core variety |
| Light brown foil with printed "Peanut Butter" | Peanut Butter | Peanut-buttery center with milk chocolate shell | Core variety |
| Pink foil (solid) | Strawberry & Cream | Fruity creamy center | Often spring seasonal |
| Light pink foil (solid) | Irish Cream | Creamy liqueur-inspired center | Limited/seasonal in some markets |
