# Dallas–Fort Worth metroplex
> Largest area private - sector employers

| Company | No. of employees locally | Type of business |
| --- | --- | --- |
| American Airlines | 22,077 | Commercial airline |
| Wal-Mart Stores, Inc. | 21,133 | Retail |
| Texas Health Resources | 16,289 | Health care |
| Lockheed Martin Aeronautics Company | 15,900 | Military aircraft design and production |
| Baylor Health Care System | 15,200 | Health care |
| Citigroup | 15,000 | Financial Services |
| AT&T Inc. | 13,729 | Data, voice, networking and internet services |
| Verizon Communications | 12,500 | Telecommunications |
| Texas Instruments | 10,600 | Semiconductor manufacturing |
| Albertsons | 10,100 | Retail grocery |
| Brinker International | 10,000 | Restaurants |
| HCA Healthcare | 9,896 | Health care |
| JPMorgan Chase | 8,800 | Financial services |
| State Farm | 8,000 | Insurance |
| J.C. Penney Company, Inc. | 7,900 | Retail |
| Kroger Food Stores | 7,600 | Retail grocery |
| Target Corporation | 7,554 | Retail |
| Electronic Data Systems (EDS) | 7,300 | Information technology services |
| Bank of America | 7,000 | Financial services |
| L-3 Communications | 6,400 | Military Communications |
| Tom Thumb Food & Pharmacy ( Safeway Inc. ) | 6,314 | Retail grocery |
| Fidelity Investments | 5,900 | Financial services |
| Southwest Airlines | 5,543 | Commercial airline |
| Bell Helicopter Textron | 5,301 | Aircraft manufacturing |
| Minyard Food Stores , Inc. | 5,091 | Retail grocery |
| Blockbuster , Inc. | 4,500 | Retail video and games |
| General Motors | 4,030 | Automotive manufacturer |
| Southwest Airlines | 4,000 | Commercial Airline |
| RadioShack Corp. | 3,896 | Electronics retailer |
| Sprint | 3,501 | Communications products |
