# Academic Year Planner 2016–2017  University Terms plus Exam and Enrollment Windows

| University Calendar Item | Start Date | End Date | Notes |
| --- | --- | --- | --- |
| Autumn Semester (Teaching) | 2016-09-26 | 2016-12-09 | Lectures and seminars |
| Reading Week | 2016-10-31 | 2016-11-04 | No scheduled lectures |
| Winter Vacation | 2016-12-10 | 2017-01-08 | University closed on key dates |
| Exam Period (Autumn) | 2017-01-09 | 2017-01-20 | On-campus exams |
| Spring Semester (Teaching) | 2017-01-23 | 2017-04-07 | Teaching block |
| Spring Break | 2017-03-13 | 2017-03-19 | Partial services |
| Enrollment for Next Year | 2017-04-10 | 2017-05-05 | Registration window |
| Exam Period (Spring) | 2017-05-08 | 2017-05-26 | Final exams |
| Summer Vacation | 2017-05-27 | 2017-09-24 | Accommodation limited |
| Graduation Week | 2017-07-17 | 2017-07-21 | Ceremonies |
| Staff Development Days | 2017-08-29 | 2017-09-01 | Offices open limited hours |
