# Top Creators Across Platforms (YouTube Subscribers vs TikTok Followers vs Instagram Followers)

| Rank (YouTube) | Creator/Brand | YouTube Subscribers (M) | TikTok Followers (M) | Instagram Followers (M) |
|---:|---|---:|---:|---:|
| 1 | MrBeast | 219.7 | 95.2 | 60.4 |
| 2 | Blackpink | 94.6 | 56.8 | 56.0 |
| 3 | WWE | 101.9 | 30.1 | 28.7 |
| 4 | Like Nastya | 119.8 | 45.0 | 14.2 |
| 5 | T-Series | 250.4 | 3.1 | 2.0 |
| 6 | Cocomelon | 170.2 | 2.4 | 1.9 |
| 7 | Justin Bieber | 73.1 | 28.4 | 294.0 |
| 8 | Taylor Swift | 58.9 | 22.0 | 281.0 |
| 9 | Cristiano Ronaldo | 61.3 | 110.0 | 620.0 |
| 10 | Shakira | 45.2 | 40.5 | 91.0 |
