# Tamarillo (Tree Tomato) Problems  Major Pests and Diseases and Management Options

| Problem Type | Example | Symptoms | Plant Mentioned | Common Management |
| --- | --- | --- | --- | --- |
| Virus | Tamarillo mosaic virus (TaMV) | Leaf mottling, reduced yield | Tamarillo | Remove infected plants, sanitize tools |
| Fungus | Powdery mildew | White coating on leaves | Tamarillo | Improve airflow, sulfur spray |
| Insect | Aphids | Sticky honeydew, curled leaves | Tamarillo | Soap spray, encourage ladybirds |
| Insect | Greenhouse whitefly | Leaf yellowing, sooty mold | Tamarillo | Yellow sticky traps, neem spray |
| Nematode | Meloidogyne incognita | Root galls, stunting | Tamarillo | Crop rotation, resistant rootstock |
| Insect | Tomato hornworm | Defoliation | Tamarillo | Hand-pick, Bt treatment |
| Fungus | Root rot | Wilting, crown decay | Tamarillo | Improve drainage, avoid overwatering |
| Virus | PVY-like virus | Streaking, plant decline | Tamarillo | Use clean planting material |
| Physiological | Sunscald | Bleached patches on fruit | Tamarillo | Provide shade during heat spikes |
