# UK Secondary School Subjects  Availability at KS3, GCSE and A level (Indicative)

| Subject | KS3 (Years 7–9) | GCSE (Years 10–11) | A level (Years 12–13) |
| --- | --- | --- | --- |
| English | Yes (core) | Yes (English Language / Literature) | Yes (English Literature; Language sometimes) |
| Mathematics | Yes (core) | Yes | Yes (Mathematics; Further Mathematics) |
| Biology | Yes (as part of Science) | Yes (separate or combined) | Yes |
| Chemistry | Yes (as part of Science) | Yes (separate or combined) | Yes |
| Physics | Yes (as part of Science) | Yes (separate or combined) | Yes |
| Combined Science | Yes (general science) | Yes (GCSE Combined Science) | No |
| Computer Science | Often | Yes | Yes |
| Design & Technology | Yes | Yes | Sometimes (Product Design / Design Engineering) |
| Art & Design | Yes | Yes | Yes |
| Music | Yes | Yes | Yes |
| Drama | Often | Yes (in many schools) | Yes (in some schools) |
| Physical Education (PE) | Yes | Yes (GCSE PE) | Yes (A level PE in some schools) |
| History | Yes | Yes | Yes |
| Geography | Yes | Yes | Yes |
| Religious Studies (RS) | Often | Yes (GCSE RS) | Yes (Religious Studies / Philosophy) |
| French | Often | Yes | Yes |
| Spanish | Often | Yes | Yes |
| German | Sometimes | Yes (where offered) | Yes (where offered) |
| Latin | Sometimes | Yes (where offered) | Yes (where offered) |
| Classical Civilisation | Sometimes | Yes (where offered) | Yes (where offered) |
| Economics | Rare | Sometimes (some schools) | Yes |
| Business Studies | Sometimes | Yes | Yes |
| Sociology | Rare | Sometimes | Yes |
| Psychology | Rare | Sometimes | Yes |
| Media Studies | Sometimes | Yes | Yes |
| Politics | No | No | Yes |
| Further Mathematics | No | No | Yes |
| Statistics | Sometimes | Sometimes (GCSE Statistics) | Sometimes (A level/AS Statistics, often within Maths) |
| Citizenship / PSHE | Yes | No | No |
