# Master of Social Work (MSW) Degree  Typical Compensation Ranges by Social-Work Role (U.S.)

| Role (MSW-aligned) | Credential/License (Typical) | Typical Annual Pay Range (USD) | Pay Type | Experience Band |
| --- | --- | --- | --- | --- |
| Licensed Clinical Social Worker (LCSW) | LCSW | $55,000 - $90,000 | Base salary range | 2-7+ years |
| Medical Social Worker | MSW (hospital), LMSW/LCSW preferred | $52,000 - $78,000 | Base salary range | 1-6 years |
| School Social Worker | MSW + state school credential | $50,000 - $80,000 | Base salary range | 1-8 years |
| Child Welfare / CPS Social Worker | MSW or related; state requirements vary | $48,000 - $75,000 | Base salary range | Entry to mid |
| Behavioral Health Therapist (Non-licensed/Pre-licensure) | MSW (pre-LCSW) | $45,000 - $68,000 | Base salary range | 0-3 years |
| Clinical Therapist (Licensed) | LCSW/LICSW (state) | $60,000 - $95,000 | Base salary range | 2-10+ years |
| Substance Use Disorder Counselor (MSW track) | MSW + state credential (varies) | $46,000 - $70,000 | Base salary range | Entry to mid |
| Hospice/Palliative Care Social Worker | MSW; medical setting | $55,000 - $82,000 | Base salary range | 1-8 years |
| Program Manager (Human Services) | MSW preferred | $62,000 - $98,000 | Base salary range | 3-10+ years |
| Director of Social Services | MSW preferred; leadership track | $75,000 - $120,000 | Base salary range | 5-15+ years |
| Policy Analyst (Social Policy) | MSW/MPP (varies) | $58,000 - $92,000 | Base salary range | 2-10 years |
