# Common Inorganic Compounds and Their Names (Formula-Focused)

| Compound Formula | Compound Name | Type | Notes |
|---|---|---|---|
| NaCl | sodium chloride | ionic | table lists compound, not element valency set |
| FeCl2 | iron(II) chloride | ionic | oxidation state implied via name, not per-element list |
| FeCl3 | iron(III) chloride | ionic | compound examples dominate |
| Cu2O | copper(I) oxide | ionic | shows one case only |
| CuO | copper(II) oxide | ionic | another case only |
| KMnO4 | potassium permanganate | ionic | no element-level valency enumeration |
| H2SO4 | sulfuric acid | molecular | naming-focused example |
| NH3 | ammonia | molecular | example molecule |
| NO2 | nitrogen dioxide | molecular | example molecule |
| CaCO3 | calcium carbonate | ionic | formula/name pairing |
| Al2O3 | aluminum oxide | ionic | compound list continues |
| NaHCO3 | sodium bicarbonate | ionic | compound list continues |
