# Apple iPhone 5S Online Price Comparison (Flipkart vs Amazon) by Variant

| Variant | Color | Storage | Condition | Flipkart Price (INR) | Amazon Price (INR) | Notes |
|---|---|---:|---|---:|---:|---|
| iPhone 5S | Space Grey | 16 GB | New | 24999 | 25990 | Seller pricing may vary |
| iPhone 5S | Silver | 16 GB | New | 25490 | 26999 | Includes handset only |
| iPhone 5S | Gold | 16 GB | New | 25999 | 27990 | Popular color premium |
| iPhone 5S | Space Grey | 32 GB | New | 28990 | 30999 | Limited stock in some listings |
| iPhone 5S | Silver | 32 GB | New | 29499 | 31990 | Price differs by seller |
| iPhone 5S | Gold | 32 GB | New | 29990 | 32999 | Higher demand variant |
| iPhone 5S | Space Grey | 64 GB | New | 33990 | 35990 | Top storage option |
| iPhone 5S | Gold | 64 GB | New | 34990 | 36999 | Often priced highest |
| iPhone 5S | Silver | 64 GB | Refurbished | 21990 | 22990 | Refurb grade impacts price |
