# Element Ionization Tendency (Loses or Gains Electrons) Without Explicit Ion Formulas

| Element | Symbol | Tendency | Typical Electron Change | Resulting Charge Sign (described) | Periodic Trend Note |
|---|---|---|---:|---|---|
| Sodium | Na | Loses electrons | 1 | Becomes positive | Alkali metal |
| Magnesium | Mg | Loses electrons | 2 | Becomes positive | Alkaline earth |
| Aluminum | Al | Loses electrons | 3 | Becomes positive | Metal |
| Chlorine | Cl | Gains electrons | 1 | Becomes negative | Halogen |
| Oxygen | O | Gains electrons | 2 | Becomes negative | Chalcogen |
| Nitrogen | N | Gains electrons | 3 | Becomes negative | Pnictogen |
| Sulfur | S | Gains electrons | 2 | Becomes negative | Chalcogen |
| Potassium | K | Loses electrons | 1 | Becomes positive | Alkali metal |
| Calcium | Ca | Loses electrons | 2 | Becomes positive | Alkaline earth |
