# List of LGBT characters in film
> R

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Rachel | Imagine Me & You | Bisexual | Film |
| Glen / Glenda Ray | Seed of Chucky | Transgender | Film |
| Roxanne "Roxy" Richter | Scott Pilgrim Vs. The World | Lesbian | Film |
| Ritchie | Summer of Sam | Bisexual | Film |
| Pete Regazolli | Neighbors 2: Sorority Rising | Gay | Film |
| Brian Roberts | Cabaret | Bisexual | Musical |
| Hedwig Robinson/Hansel | Hedwig and the Angry Inch | Transgender | Film |
| Luther Robinson | Hedwig and the Angry Inch | Gay | Film |
| Alejandro Rodriguez | Desde el Huergo | Bisexual | Musical |
| Rocky | The Rocky Horror Picture Show | Bisexual | Film |
| Daisy Robson | Girltrash! | Lesbian | TV / Film |
| Colby Robson | Girltrash! | Lesbian | TV / Film |
| Chi-Chi Rodriguez | To Wong Foo, Thanks for Everything! Julie Newmar | Gay | Film |
| Ignacio Rodriguez | Bad Education | Gay | Film |
| Roxy | Basic Instinct | Lesbian | Film |
| Evie Roy | The Incredibly True Adventure of Two Girls in Love | Lesbian | Film |
| Ruby | The Neon Demon | Lesbian | Film |
| Ronnie Kray | Legend | Gay | Film |
