# Dating the Bible
> Table II : Hebrew Bible or Protocanonical Old Testament

| Torah | Date or range of dates most widely held by scholars |
| --- | --- |
| Book of Genesis Book of Exodus Book of Leviticus Book of Numbers Book of Deuteronomy | The majority of modern biblical scholars believe that the Torah – the books of Genesis, Exodus, Leviticus, Numbers and Deuteronomy – reached its present form in the post-Exilic period . [19] The five books are drawn from four "sources" (distinct schools of writers rather than individuals): the Priestly source , the Yahwist and the Elohist (these two are often referred to collectively as the "non-Priestly" source), and the Deuteronomist . [31] There is general agreement that the Priestly source is post-exilic, but there is no agreement over the non-Priestly source(s). [31] Genesis is a post-exilic work combining "Priestly" and "non-Priestly" material. [32] Exodus is an anthology drawn from nearly all periods of Israel's history. [33] Leviticus is entirely Priestly and dates from the exilic/post-exilic period. [34] Numbers is a Priestly redaction (i.e., editing) of a Yahwistic /non-Priestly original. [35] Deuteronomy, now the last book of the Torah, began as the set of religious laws (these make up the bulk of the book), was extended in the early part of the 6th century to serve as the introduction to the Deuteronomistic history , and later still was detached from that history, extended yet again, and edited to conclude the Torah. [36] |
| Prophets | Date or range of dates most widely held by scholars |
| Former Prophets: Book of Joshua Book of Judges Books of Samuel Books of Kings | This group of books, plus Deuteronomy, is called the " Deuteronomistic history " by scholars. The proposal that they made up a unified work was first advanced by Martin Noth in 1943, and has been widely accepted. Noth proposed that the entire history was the creation of a single individual working in the exilic period (6th century BCE); since then there has been wide recognition that the history appeared in two "editions", the first in the reign of Judah's King Josiah (late 7th century), the second during the exile (6th century). [11] Noth's dating was based on the assumption that the history was completed very soon after its last recorded event, the release of King Jehoiachin in Babylon c. 560 BCE; but some scholars have termed his reasoning inadequate, and the history may have been further extended in the post-exilic period. [37] |
| Three Major Prophets: Book of Isaiah Book of Jeremiah Book of Ezekiel | Scholars recognise three "sections" in the Book of Isaiah : Proto-Isaiah (the original 8th century Isaiah); Deutero-Isaiah (an anonymous prophet living in Babylon during the exile); and Trito-Isaiah (an anonymous author or authors in Jerusalem immediately after the exile). [38] The Book of Jeremiah exists in two versions, Greek (the version used in Orthodox Christian Bibles) and Hebrew (Jewish, Catholic and Protestant Bibles), with the Greek representing the earlier version. [39] The Greek version was probably finalised in the early Persian period and translated into Greek in the 3rd century BCE, and the Hebrew version dates from some point between then and the 2nd century BCE. [40] The Book of Ezekiel describes itself as the words of the Ezekiel ben-Buzi, a priest living in exile in the city of Babylon , and internal evidence dates the visions to between 593 and 571 BCE. While the book probably reflects much of the historic Ezekiel, it is the product of a long and complex history, with significant additions by a "school" of later followers. [41] [42] |
| Twelve Minor Prophets | In the Hebrew Bible the Twelve Minor Prophets are a single collection edited in the Second Temple period , but the collection is broken up in Christian Bibles. [43] With the exception of Jonah , which is a fictional work, there exists an original core of prophetic tradition behind each book: [44] [45] Book of Hosea : second half of the 8th century BCE [6] Book of Joel : late Persian or Hellenistic [46] Book of Amos : first half of the 8th century [47] Book of Obadiah :around the time of the fall of Jerusalem, 586 BCE [13] Book of Jonah : Persian or Hellenistic, no later than 2nd century BCE [28] Book of Micah : c. 750–700 BCE [48] Book of Nahum : an "oracle concerning Nineveh ", the Assyrian city destroyed in 612 BCE [49] Book of Habakkuk : possibly shortly before the battle of Carchemish , 605 BCE [10] Book of Zephaniah : reign of Josiah [9] Book of Haggai : self-dated to the second year of the Persian king Darius (Darius the Great), 520 BCE [22] Book of Zechariah : first eight chapters contemporary with Haggai; chapters 9-14 from the 5th century [23] Book of Malachi : 5th century BCE, contemporaneous or immediately prior to the missions of Nehemiah and Ezra (which, however, are themselves difficult to date) [24] |
| Ketuvim | Date or range of dates most widely held by scholars |
| Wisdom collection: Job , Ecclesiastes and Proverbs | The books of Job , Ecclesiastes and Proverbs share a similar outlook which they themselves call "wisdom". [50] It is generally agreed that Job comes from between the 7th and 4th centuries BCE, with the 6th century as the most likely. [51] Ecclesiastes can be no earlier than about 450 BCE, due to the presence of Persian loan-words and Aramaic idioms, and no later than 180 BCE, when the Jewish writer Ben Sira quotes from it. [52] [53] Proverbs is a "collection of collections" relating to a pattern of life which lasted for more than a millennium, and impossible to date. [54] |
| Poetic works: Psalms and Lamentations | The psalms making up the first two-thirds of the psalter are predominantly pre-exilic and the last third predominantly post-exilic. [3] The collected book of Psalms was possibly given its modern shape and division into five parts in the post-exilic period, although it continued to be revised and expanded well into Hellenistic and even Roman times. [55] It is generally accepted that the destruction of Jerusalem by Babylon in 586 BCE forms the background to the Book of Lamentations . [56] |
| Histories: Chronicles and Ezra-Nehemiah | Chronicles was composed between 400–250 BCE, probably in the period 350–300 BCE; [25] Ezra-Nehemiah (two books in modern Bibles, but originally one) may have reached its final form as late as the Ptolemaic period, c. 300–200 BCE. [26] |
| Miscellaneous works: Book of Ruth , Book of Esther , Book of Daniel , Song of Songs | The Book of Ruth is commonly dated to the Persian period; [57] Esther to the 3rd or 4th centuries BCE; the Book of Daniel can be dated more precisely to 164 BCE thanks to its veiled prophecy of the death of a Greek king of Syria; [58] and the Song of Songs could have been composed at any time after the 6th century BCE. [59] |
