# Mickey Mouse Clubhouse — Main Voice Cast (Actor-to-Character Map)

| Billing tier | Voice actor | Character / role voiced | Notes |
| --- | --- | --- | --- |
| Main | Wayne Allwine | Mickey Mouse | Series lead voice role |
| Main | Russi Taylor | Minnie Mouse | Main cast |
| Main | Bill Farmer | Goofy | Main cast |
| Main | Tony Anselmo | Donald Duck | Main cast |
| Main | Tress MacNeille | Daisy Duck | Main cast |
| Main | Jim Cummings | Pete | Main antagonist/neighbor |
| Main | Bret Iwan | Mickey Mouse (singing / select segments) | Additional performance credit |
| Main | Nika Futterman | Luna (voice) | Recurring character voice |
| Main | Dee Bradley Baker | Various additional voices | Multiple minor roles |
| Main | April Winchell | Clarabelle Cow | Recurring character voice |
