# Senior Byzantine Offices  selected office-holders, tenure, and the emperor(s) served

| Office | Office-holder | Tenure (start) | Tenure (end) | Emperor(s) served under | Basis of authority / notes |
|---|---|---:|---:|---|---|
| Patriarch of Constantinople | Photios I | 858 | 867 | Michael III | Appointed patriarch; major influence at court and in church-state policy |
| Patriarch of Constantinople | Ignatios | 867 | 877 | Basil I | Restored patriarch; prominent public authority in ecclesiastical governance |
| Parakoimomenos (chief chamberlain) | Basil Lekapenos | 976 | 985 | Basil II | Palace power-broker; controlled access to the emperor during early reign |
| Parakoimomenos (chief chamberlain) | Samonas | 907 | 908 | Leo VI | Court official with direct control of palace administration; later disgraced |
| Megas doux (commander of the fleet) | John Doukas | 1092 | 1099 | Alexios I Komnenos | High naval command; close kinship tie to the emperor |
| Megas doux (commander of the fleet) | Landulf | 1099 | 1105 | Alexios I Komnenos | Senior admiral; foreign origin noted in sources |
| Megas doux (commander of the fleet) | Isaac Kontostephanos | 1105 | 1108 | Alexios I Komnenos | Dismissed; example of tenure ending due to performance |
| Logothetes tou dromou (foreign affairs & post) | Leo Choirosphaktes | 895 | 902 | Leo VI | Led embassies and diplomacy; office tied to external relations |
| Domestic of the Schools (East) | Bardas Phokas the Younger | 987 | 989 | Basil II | Commander-in-chief role; tenure linked to suppression of major rebellions |
| Megas logothetes (chief financial/administrative minister) | Theodore Metochites | 1321 | 1328 | Andronikos II Palaiologos | Senior minister; influence derived from holding highest chancery office |
| Protovestiarios (head of the imperial wardrobe/treasury household) | George Mouzalon | 1258 | 1258 | Theodore II Laskaris | Palace office-holder; rapid rise and abrupt end illustrates factional politics |
| Despot (high court title / provincial authority) | Michael Palaiologos (as Despot) | 1258 | 1261 | John IV Laskaris | Held top rank before becoming senior emperor; authority expanded via regency |
