# Cruise Line Companies — Brand Type, Status, and Home Base

| Cruise Line (Brand/Company) | Segment | Status | Headquarters (Country/City) | Primary Market |
| --- | --- | --- | --- | --- |
| Disney Cruise Line | Mainstream / Family | Operational | Celebration, United States | North America |
| Virgin Voyages | Contemporary / Lifestyle | Operational | Plantation, United States | North America & Europe |
| Azamara | Premium / Destination-focused | Operational | Miami, United States | Global |
| Viking Ocean Cruises | Premium / Adults-oriented | Operational | Basel, Switzerland | Europe & North America |
| Explora Journeys | Luxury / New brand | Operational | Geneva, Switzerland | Global |
| Scenic Eclipse (Scenic Cruises) | Luxury / Expedition | Operational | Zug, Switzerland | Global |
| AIDA Cruises | Contemporary | Operational | Rostock, Germany | German-speaking Europe |
| TUI Cruises | Contemporary / Premium | Operational | Hamburg, Germany | German-speaking Europe |
| Celestyal Cruises | Contemporary | Operational | Athens, Greece | Eastern Mediterranean |
| Star Clippers | Sailing / Tall-ship | Operational | Monaco | Europe |
| Fred. Olsen Cruise Lines | Premium / Small-ship | Operational | Ipswich, United Kingdom | United Kingdom |
| Hapag-Lloyd Cruises | Luxury / Expedition | Operational | Hamburg, Germany | Europe |
