# Bottled Water Brands With Label Claims Only (No Measured Exact pH)

| Brand | Label/Marketing Claim | Claimed pH (If Stated) | Verification Status |
| --- | --- | --- | --- |
| Essentia | "Ionized alkaline water" | "9+" | Claim only (no lab value shown) |
| Icelandic Glacial | "Naturally alkaline" | "8.4" | Label claim (not independently measured here) |
| Evamor | "Artesian water" | "8" | Claim only |
| Eternal Water | "Naturally alkaline" | "7+" | Claim only |
| Smartwater | "Vapor distilled" | Not stated | No pH provided |
| Fiji | "Artesian aquifer" | Not stated | No pH provided |
| Evian | "Natural spring" | Not stated | No pH provided |
| VOSS | "Artesian" | Not stated | No pH provided |
| Perrier | "Sparkling mineral" | Not stated | No pH provided |
| S. Pellegrino | "Sparkling mineral" | Not stated | No pH provided |
