# Internet suite
> Suites by applications

| Client | Years | Web browser | E-mail client | HTML editor | Address Book | IRC client | Usenet | FTP | Gopher | Other |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Arachne | 1996-Now | Yes | Yes | Yes | No | Yes | Yes | Yes | Yes | Dialer |
| Beonex Communicator | 2000-2003 | Navigator | Mail & Newsgroups | Composer | Yes | ChatZilla | Yes | Yes | Yes | Extensions |
| Classilla | 2009-Now | Yes | Mail & Newsgroups | Composer | Yes | No | Yes | Yes | Yes | - |
| Cyberdog | 1996-1997 | Yes | Yes | No | Apple Address Book | No | Yes | Yes | No | - |
| Cyberjack | 1995 | Yes | Yes | No | Yes | Yes | Yes | Yes | Yes | TalkWorks , WinComm , WinFax |
| Internet Explorer 3 | 1996-1997 | Yes | Microsoft Internet Mail and News | No | Windows Address Book | No | Yes | Yes | Yes | Microsoft Comic Chat , Microsoft Java Virtual Machine , Microsoft NetMeeting , RealPlayer , Windows Media Player |
| Internet Explorer 4 | 1997-1998 | Yes | Outlook Express | FrontPage Express | Windows Address Book | No | Yes | Yes | Yes | Active Channel , Microsoft Chat 2.0 , Microsoft NetMeeting , RealPlayer , Windows Desktop Update |
| Internet Explorer 5 | 1998-2000 | Yes | Outlook Express | FrontPage Express | Windows Address Book | No | Yes | Yes | Yes | Windows Media Player, NetMeeting, Chat, |
| Minuet | ?-1996 | Yes | Yes | No | No | No | Yes | Yes | Yes | telnet |
| Mozilla | 1999-2005 | Navigator | Mail & Newsgroups | Composer | Yes | ChatZilla | Yes | Yes | Yes | Extensions, Palm Tools |
| Netscape Gold | 1996-1997 | Yes | Yes | Yes | Yes | No | Yes | Yes | Yes | CoolTalk |
| Netscape Communicator | 1997-2002 | Navigator | Mail & Newsgroups | Composer | Yes | No | Yes | Yes | Yes | Netscape Conference , Netscape Netcaster |
| Netscape 5 | never released | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |
| Netscape 6 & 7 | 2000-2004 | Navigator | Mail & Newsgroups | Composer | Yes [11] | ChatZilla | Yes | Yes | Yes | AIM , Radio , net2Phone |
| Opera | 1996-Now | Yes | Opera Mail | Opera Dragonfly | Yes | Opera Mail | Opera Mail | read only | Proxy is needed | Dialer, BitTorrent |
| SeaMonkey | 2005-Now | Navigator | Mail & Newsgroups | Composer | Yes | ChatZilla | Yes | Yes | Yes | Extensions, Palm Tools |
| Client | Years | Web browser | E-mail client | HTML editor | Address Book | IRC client | Usenet | FTP | Gopher | Other |
