# Metropolitan Areas in the Pacific Northwest (Selected)

| Rank | Metro Area | Primary Cities | Population (2020 est.) | Notes |
| --- | --- | --- | --- | --- |
| 1 | Seattle–Tacoma–Bellevue | Seattle; Tacoma; Bellevue | 4,000,000+ | Includes multiple counties |
| 2 | Portland–Vancouver–Hillsboro | Portland; Vancouver | 2,500,000+ | Cross-border metro (states not specified) |
| 3 | Spokane–Spokane Valley | Spokane; Spokane Valley | 580,000+ | Inland metro |
| 4 | Boise City | Boise; Meridian | 750,000+ | Rapid growth |
| 5 | Salem | Salem | 430,000+ | State capital region |
| 6 | Eugene–Springfield | Eugene; Springfield | 380,000+ | University-centered |
| 7 | Olympia–Lacey–Tumwater | Olympia; Lacey; Tumwater | 300,000+ | Government employment |
| 8 | Bellingham | Bellingham | 230,000+ | Border-adjacent |
| 9 | Yakima | Yakima | 250,000+ | Agricultural hub |
