# Ionic Compound Naming Practice Table (Formula → Name)

| Chemical Formula | Cation Name (with Roman Numeral) | Anion Name | Compound Name |
|---|---|---|---|
| FeCl2 | iron(II) | chloride | iron(II) chloride |
| FeCl3 | iron(III) | chloride | iron(III) chloride |
| CuBr | copper(I) | bromide | copper(I) bromide |
| CuBr2 | copper(II) | bromide | copper(II) bromide |
| SnO | tin(II) | oxide | tin(II) oxide |
| SnO2 | tin(IV) | oxide | tin(IV) oxide |
| PbS | lead(II) | sulfide | lead(II) sulfide |
| PbO2 | lead(IV) | oxide | lead(IV) oxide |
| Co(NO3)2 | cobalt(II) | nitrate | cobalt(II) nitrate |
| Co(NO3)3 | cobalt(III) | nitrate | cobalt(III) nitrate |
