# Example UK School Academic Year Calendar (Terms and Breaks) 2017–2018

| Period Name | Start Date | End Date |
| --- | --- | --- |
| Autumn Term (Part 1) | Monday 4 September 2017 | Friday 20 October 2017 |
| Autumn Half-Term Break | Saturday 21 October 2017 | Sunday 29 October 2017 |
| Autumn Term (Part 2) | Monday 30 October 2017 | Tuesday 19 December 2017 |
| Christmas Break | Wednesday 20 December 2017 | Wednesday 3 January 2018 |
| Spring Term (Part 1) | Thursday 4 January 2018 | Friday 9 February 2018 |
| Spring Half-Term Break | Saturday 10 February 2018 | Sunday 18 February 2018 |
| Spring Term (Part 2) | Monday 19 February 2018 | Thursday 29 March 2018 |
| Easter Break | Friday 30 March 2018 | Sunday 15 April 2018 |
| Summer Term (Part 1) | Monday 16 April 2018 | Friday 25 May 2018 |
| Summer Half-Term Break | Saturday 26 May 2018 | Sunday 3 June 2018 |
| Summer Term (Part 2) | Monday 4 June 2018 | Friday 20 July 2018 |
| Summer Break | Saturday 21 July 2018 | Sunday 2 September 2018 |
