# List of Game of the Year awards
> GameSpot

| Year | Game | Genre | Platform(s) | Developer(s) |
| --- | --- | --- | --- | --- |
| 2004 | Halo 2 | ( First-Person ) Shooter | Windows , Xbox | Bungie |
| 2005 | Resident Evil 4 | Survival Horror : ( Third-Person ) Shooter | GameCube , PlayStation 2 | Capcom |
| 2006 | Gears of War | ( Third-Person ) Shooter | Xbox 360 | Epic Games |
| 2007 | Call of Duty 4: Modern Warfare | Action : ( First-Person ) Shooter | PlayStation 3 , Xbox 360 , Windows | Infinity Ward |
| 2008 | Metal Gear Solid 4: Guns of the Patriots | Stealth : ( Third-Person ) Shooter | PlayStation 3 | Kojima Productions |
| 2009 | Uncharted 2: Among Thieves [191] | Action-Adventure : ( Third-Person ) Shooter | PlayStation 3 | Naughty Dog |
| 2010 | StarCraft II: Wings of Liberty [192] | ( Real-Time ) Strategy | Windows | Blizzard Entertainment |
| 2011 | The Elder Scrolls V: Skyrim [192] | ( Action ) Role-Playing Game | Windows , PlayStation 3 , Xbox 360 | Bethesda Game Studios |
| 2012 | Far Cry 3 [193] | ( First-Person ) Shooter | Windows , PlayStation 3 , Xbox 360 | Ubisoft Montreal |
| 2013 | The Last of Us | Action-adventure game | PlayStation 3 , PlayStation 4 | Naughty Dog |
| 2014 | Dragon Age: Inquisition | Action RPG | Windows , PlayStation 3 , PlayStation 4 , Xbox 360 , Xbox One | BioWare |
| 2015 | The Witcher 3: Wild Hunt | Action RPG | Windows , PlayStation 4 , Xbox One | CD Projekt RED |
