# Delaware Bank CD Rates (Term Not Specified)

| Bank | APY | Minimum Deposit | Location (DE) | Disclosure |
| --- | --- | --- | --- | --- |
| Wilmington Bay Savings | 0.35% | $1,000 | Wilmington | APY may vary by term |
| First Dover Community Bank | 0.34% | $500 | Dover | Term-dependent pricing |
| Sussex County Bank | 0.33% | $2,500 | Georgetown | Rates subject to change |
| Brandywine Valley Bank | 0.32% | $10,000 | Newark | Promotional APY |
| Seaford National Bank | 0.31% | $1,500 | Seaford | In-branch only |
| Delaware River Trust | 0.30% | $25,000 | New Castle | Jumbo tiers available |
| Rehoboth Savings Association | 0.29% | $1,000 | Rehoboth Beach | Member discounts |
| Middletown Federal Bank | 0.28% | $5,000 | Middletown | Limited term offers |
| Milford Heritage Bank | 0.27% | $500 | Milford | Contact branch for terms |
