# Amino Acid pKa pI Reference (Identification by Constants)

| Amino acid | pKa (α-COOH) | pKa (α-NH3+) | Side-chain pKa | pI (approx.) | Notes |
|---|---:|---:|---:|---:|---|
| Aspartic acid | 1.88 | 9.60 | 3.65 | 2.77 | Acidic |
| Glutamic acid | 2.19 | 9.67 | 4.25 | 3.22 | Acidic |
| Histidine | 1.82 | 9.17 | 6.00 | 7.59 | Imidazole |
| Cysteine | 1.96 | 8.18 | 8.30 | 5.07 | Thiol |
| Tyrosine | 2.20 | 9.11 | 10.10 | 5.66 | Phenolic |
| Lysine | 2.18 | 8.95 | 10.53 | 9.74 | Basic |
| Arginine | 2.17 | 9.04 | 12.48 | 10.76 | Basic |
| Serine | 2.21 | 9.15 | — | 5.68 | Polar |
| Alanine | 2.34 | 9.69 | — | 6.01 | Nonpolar |
