# Daily Nutrient Targets for Youth (Single Value Reference)

| Nutrient | Recommended daily amount | Unit | Notes |
|---|---:|---|---|
| Calcium | 1000 | mg/day | General youth target |
| Iron | 14 | mg/day | Applies broadly to teens |
| Vitamin D | 15 | µg/day | Equivalent to 600 IU |
| Vitamin C | 75 | mg/day | Often cited for adolescents |
| Zinc | 11 | mg/day | Typical teen reference |
| Magnesium | 360 | mg/day | General guidance |
| Iodine | 150 | µg/day | Non-pregnant, non-lactating |
| Folate | 400 | µg DFE/day | General target |
| Fiber | 25 | g/day | General recommendation |
| Potassium | 4700 | mg/day | Adequate intake figure |
