# Spine MRI CPT Codes With Typical Cash Price and Location

| Spine MRI Exam | CPT Code | Contrast | Typical Cash Price (USD) | Facility/Region |
| --- | --- | --- | --- | --- |
| Cervical spine MRI | 72141 | Without | 650-1100 | Midwest outpatient center |
| Cervical spine MRI | 72142 | With | 750-1300 | Midwest outpatient center |
| Cervical spine MRI | 72156 | With & without | 900-1600 | Midwest outpatient center |
| Thoracic spine MRI | 72146 | Without | 700-1200 | Northeast hospital |
| Thoracic spine MRI | 72147 | With | 850-1400 | Northeast hospital |
| Thoracic spine MRI | 72157 | With & without | 950-1700 | Northeast hospital |
| Lumbar spine MRI | 72148 | Without | 600-1050 | South imaging center |
| Lumbar spine MRI | 72149 | With | 800-1350 | South imaging center |
| Lumbar spine MRI | 72158 | With & without | 950-1750 | South imaging center |
| Sacrum/coccyx MRI | 72195 | Without | 650-1150 | West outpatient center |
