# U.S. Seat Belt Laws by State (Sample) — Coverage + Primary Secondary Enforcement

| State | Enforcement Type (Seat Belt) | Who the Law Applies To | Seat Position Covered | Age / Threshold Detail | Notable Coverage Notes |
|---|---|---|---|---|---|
| California | Primary | Drivers and passengers | All seats | 16+ (general); younger covered via separate provisions | Broad all-seats coverage paired with primary enforcement |
| Maryland | Primary | Drivers and passengers | Front seats (rear-seat for under-16) | Under 16 in rear covered | Mix of general front-seat rule plus youth rear-seat coverage |
| North Carolina | Primary | Drivers and passengers | Front seats; rear-seat under-16 | Under 16 (rear) | Rear-seat obligation commonly triggered for minors |
| Virginia | Secondary (adult); Primary for minors in some cases | Drivers; passengers | Front seats (adult); all seats for certain minors | Under 18 primary in all seats | Enforcement/coverage can differ by age group |
| Tennessee | Primary (front-seat); Secondary (rear-seat) | Drivers and passengers | Front seats; limited rear-seat | 16+ (adult); minors covered more broadly | Different enforcement depending on seating position/age |
| New Hampshire | No adult seat belt law | Limited (youth-focused) | Varies (youth) | Under 18 | Outlier state; adult mandate absent while youth rules may exist |
| Washington | Primary | Drivers and passengers | All seats | All ages | Statewide all-occupant rule with primary enforcement |
| Missouri | Secondary | Drivers and front-seat passengers | Front seats; limited rear-seat | 16+ (adult) | Rear-seat coverage often narrower than front-seat |
| Michigan | Primary | Drivers and passengers | Front seats; rear-seat under-16 | Under 16 (rear) | Age-based rear-seat coverage is explicit |
| Alaska | Primary | Drivers and passengers | All seats | 16+ (adult); minors broader | All-seats rule with age distinctions noted |
| Total (rows shown) | 10 states | — | Mixed | — | Table combines coverage (who/where/age) with enforcement type |
