# Snakes of the Southeastern United States — Venomous and Harmless Species by Region

| Region (not state-specific) | Species (Scientific) | Common Name | Venom Status | Typical Habitat |
|---|---|---|---|---|
| Southeast U.S. | Crotalus adamanteus | Eastern diamondback | Venomous | Pine flatwoods |
| Southeast U.S. | Agkistrodon contortrix | Copperhead | Venomous | Forest edges/rocky hills |
| Southeast U.S. | Agkistrodon piscivorus | Cottonmouth | Venomous | Swamps and slow rivers |
| Southeast U.S. | Micrurus fulvius | Eastern coral snake | Venomous | Sandy woods |
| Southeast U.S. | Pantherophis guttatus | Corn snake | Non-venomous | Fields and barns |
| Southeast U.S. | Lampropeltis getula | Common kingsnake | Non-venomous | Mixed habitats |
| Southeast U.S. | Nerodia sipedon | Northern watersnake | Non-venomous | Rivers/lakes |
| Southeast U.S. | Thamnophis sirtalis | Common garter snake | Non-venomous | Meadows/urban parks |
| Southeast U.S. | Heterodon simus | Southern hognose snake | Non-venomous | Sandy soils |
| Southeast U.S. | Regina septemvittata | Queen snake | Non-venomous | Clear streams |
