# Electrical resistivity of selected non-metals, semiconductors, and conductive ceramics (approx. 300 K)

| Class | Material | Electrical resistivity (Ω·m) | Typical condition / remark |
| --- | --- | ---: | --- |
| Carbon materials | Graphite (polycrystalline) | 3.0e-5 | Strongly anisotropic in single crystals |
| Semiconductors | Silicon (intrinsic) | 2.3e3 | Pure Si at ~300 K |
| Semiconductors | Germanium (intrinsic) | 4.6e-1 | Pure Ge at ~300 K |
| Semiconductors | Gallium arsenide (intrinsic) | 1.0e6 | Wide use in RF electronics |
| Conductive oxides | Indium tin oxide (ITO) | 1.0e-4 | Transparent conducting oxide (typical film) |
| Carbides | Silicon carbide (SiC, high-purity) | 1.0e5 | Varies widely with doping/grade |
| Ceramics (insulator) | Aluminum nitride (AlN) | 1.0e9 | Electrically insulating ceramic |
| Ceramics (insulator) | Boron nitride (h-BN) | 1.0e10 | Layered ceramic, good thermal conductor |
| Polymers (insulator) | PTFE (Teflon) | 1.0e16 | Very high resistivity |
| Liquids (ultrapure) | Water (ultrapure) | 1.8e5 | Equivalent to ~0.055 μS/cm conductivity |
