# British Columbia  leaders and parties mentioned alongside vote seat totals (election-centered)

| Election year | Party | Party leader | Status after election | Seats won | Vote share |
|---|---|---|---|---:|---:|
| 1996 | New Democratic | Glen Clark | Government | 39 | 39.5% |
| 1996 | Liberal | Gordon Campbell | Official Opposition | 33 | 41.8% |
| 2001 | Liberal | Gordon Campbell | Government | 77 | 57.6% |
| 2001 | New Democratic | Ujjal Dosanjh | Official Opposition | 2 | 21.6% |
| 2005 | Liberal | Gordon Campbell | Government | 46 | 46.8% |
| 2005 | New Democratic | Carole James | Official Opposition | 33 | 41.5% |
| 2009 | Liberal | Gordon Campbell | Government | 49 | 45.8% |
| 2009 | New Democratic | Carole James | Official Opposition | 41 | 42.0% |
| 2013 | Liberal | Christy Clark | Government | 49 | 44.1% |
| 2013 | New Democratic | Adrian Dix | Official Opposition | 34 | 39.7% |
