# 2016 Draft Class Ball-Carriers  Running Back Rankings with Usage Type

| Rank (RB) | Prospect | Position | Usage Type | Key Trait |
|---:|---|---|---|---|
| 1 | Ezekiel Elliott | RB | Feature back | Vision & balance |
| 2 | Derrick Henry | RB | Power back | Size/speed combination |
| 3 | Devontae Booker | RB | Every-down candidate | Contact balance |
| 4 | C.J. Prosise | RB | Passing-down back | Route-running |
| 5 | Kenyan Drake | RB | Space player | Burst in the open field |
| 6 | Paul Perkins | RB | One-cut runner | Patience in zone concepts |
| 7 | Jordan Howard | RB | Early-down back | North-south style |
| 8 | Kenneth Dixon | RB | All-purpose back | Lateral agility |
| 9 | Jonathan Williams | RB | Complementary back | Toughness between tackles |
| 10 | Tyler Ervin | RB | Gadget/return role | Long speed |
