# Landlocked Countries with Neighboring Coastal Access Routes (Transit Corridors)

| Landlocked Country | Primary Transit Route to Ocean | Neighboring Coastal State(s) | Main Port Used | Typical Mode |
|---|---|---|---|---|
| Bolivia | La Paz–Arica corridor | Chile | Port of Arica | Road/Rail |
| Austria | Danube–Rhine–North Sea network | Germany, Netherlands | Port of Rotterdam | River barge |
| Switzerland | Rhine corridor | Netherlands, Germany | Port of Rotterdam | River barge |
| Nepal | Birgunj–Kolkata corridor | India | Port of Kolkata | Road/Rail |
| Chad | N'Djamena–Douala corridor | Cameroon | Port of Douala | Road |
| Mongolia | Ulaanbaatar–Tianjin corridor | China | Port of Tianjin | Rail |
| Paraguay | Paraguay–Paraná waterway | Argentina, Uruguay | Port of Montevideo | River barge |
| Laos | Mekong corridor | Vietnam, Thailand | Port of Da Nang | Road/River |
| Rwanda | Northern corridor | Kenya | Port of Mombasa | Road |
| Mali | Dakar corridor | Senegal | Port of Dakar | Road/Rail |
