# Station Brand Price Survey by State (Regular Gasoline) with Optional Tax Line Item

| State | Brand | Avg posted price ($/gal) | Price range ($/gal) | Included tax line item? | Notes |
|---|---|---:|---:|---|---|
| California | Chevron | 5.05 | 4.79–5.39 | Yes (varies) | Premium-brand pricing |
| California | Costco | 4.72 | 4.55–4.98 | Yes (varies) | Membership model |
| Texas | Shell | 2.79 | 2.60–3.05 | Yes (varies) | Urban vs rural spread |
| Texas | Walmart | 2.64 | 2.49–2.85 | Yes (varies) | Discount retail |
| Florida | BP | 3.38 | 3.12–3.65 | Yes (varies) | Coastal logistics |
| New York | Exxon | 4.06 | 3.82–4.39 | Yes (varies) | High-cost markets |
| Illinois | Speedway | 3.79 | 3.55–4.10 | Yes (varies) | Midwest pricing |
| Washington | Arco | 4.61 | 4.39–4.99 | Yes (varies) | Regional competition |
| Nevada | Sinclair | 3.96 | 3.71–4.28 | Yes (varies) | Tourist corridors |
| Georgia | RaceTrac | 3.19 | 2.98–3.44 | Yes (varies) | High station density |
