# List of rules of inference
> Table : Rules of Inference

| Rules of inference | Tautology | Name |
| --- | --- | --- |
| p p → q ∴ q ¯ {\displaystyle {\begin{aligned}p\\p\rightarrow q\\\therefore {\overline {q\quad \quad \quad }}\\\end{aligned}}} | ( ( p ∧ ( p → q ) ) → q {\displaystyle ((p\wedge (p\rightarrow q))\rightarrow q} | Modus ponens |
| ¬ q p → q ∴ ¬ p ¯ {\displaystyle {\begin{aligned}\neg q\\p\rightarrow q\\\therefore {\overline {\neg p\quad \quad \quad }}\\\end{aligned}}} | ( ( ¬ q ∧ ( p → q ) ) → ¬ p {\displaystyle ((\neg q\wedge (p\rightarrow q))\rightarrow \neg p} | Modus tollens |
| ( p ∨ q ) ∨ r ∴ p ∨ ( q ∨ r ) ¯ {\displaystyle {\begin{aligned}(p\vee q)\vee r\\\therefore {\overline {p\vee (q\vee r)}}\\\end{aligned}}} | ( ( p ∨ q ) ∨ r ) → ( p ∨ ( q ∨ r ) ) {\displaystyle ((p\vee q)\vee r)\rightarrow (p\vee (q\vee r))} | Associative |
| p ∧ q ∴ q ∧ p ¯ {\displaystyle {\begin{aligned}p\wedge q\\\therefore {\overline {q\wedge p}}\\\end{aligned}}} | ( p ∧ q ) → ( q ∧ p ) {\displaystyle (p\wedge q)\rightarrow (q\wedge p)} | Commutative |
| p → q q → p ∴ p ↔ q ¯ {\displaystyle {\begin{aligned}p\rightarrow q\\q\rightarrow p\\\therefore {\overline {p\leftrightarrow q}}\\\end{aligned}}} | ( ( p → q ) ∧ ( q → p ) ) → ( p ↔ q ) {\displaystyle ((p\rightarrow q)\wedge (q\rightarrow p))\rightarrow (\ p\leftrightarrow q)} | Law of biconditional propositions |
| ( p ∧ q ) → r ∴ p → ( q → r ) ¯ {\displaystyle {\begin{aligned}(p\wedge q)\rightarrow r\\\therefore {\overline {p\rightarrow (q\rightarrow r)}}\\\end{aligned}}} | ( ( p ∧ q ) → r ) → ( p → ( q → r ) ) {\displaystyle ((p\wedge q)\rightarrow r)\rightarrow (p\rightarrow (q\rightarrow r))} | Exportation |
| p → q ∴ ¬ q → ¬ p ¯ {\displaystyle {\begin{aligned}p\rightarrow q\\\therefore {\overline {\neg q\rightarrow \neg p}}\\\end{aligned}}} | ( p → q ) → ( ¬ q → ¬ p ) {\displaystyle (p\rightarrow q)\rightarrow (\neg q\rightarrow \neg p)} | Transposition or contraposition law |
| p → q q → r ∴ p → r ¯ {\displaystyle {\begin{aligned}p\rightarrow q\\q\rightarrow r\\\therefore {\overline {p\rightarrow r}}\\\end{aligned}}} | ( ( p → q ) ∧ ( q → r ) ) → ( p → r ) {\displaystyle ((p\rightarrow q)\wedge (q\rightarrow r))\rightarrow (p\rightarrow r)} | Hypothetical syllogism |
| p → q ∴ ¬ p ∨ q ¯ {\displaystyle {\begin{aligned}p\rightarrow q\\\therefore {\overline {\neg p\vee q}}\\\end{aligned}}} | ( p → q ) → ( ¬ p ∨ q ) {\displaystyle (p\rightarrow q)\rightarrow (\neg p\vee q)} | Material implication |
