# Amino Acid Codes and Classifications (No Codons Included)

| Amino acid | 3-letter | 1-letter | Essentiality | Side-chain class | Charge at pH 7 |
|---|---|---|---|---|---|
| Alanine | Ala | A | nullssential | Nonpolar | Neutral |
| Arginine | Arg | R | Conditional | Basic | Positive |
| Asparagine | Asn | N | nullssential | Polar uncharged | Neutral |
| Aspartate | Asp | D | nullssential | Acidic | Negative |
| Cysteine | Cys | C | nullssential | Polar uncharged | Neutral |
| Glutamate | Glu | E | nullssential | Acidic | Negative |
| Histidine | His | H | Essential (conditionally) | Basic | Positive/Neutral |
| Isoleucine | Ile | I | Essential | Nonpolar | Neutral |
| Leucine | Leu | L | Essential | Nonpolar | Neutral |
| Lysine | Lys | K | Essential | Basic | Positive |
| Methionine | Met | M | Essential | Nonpolar | Neutral |
