# Windows Alt Codes (CP437 Extended ASCII) — Punctuation & Box Drawing

| Category | Keystroke (Alt+0nnn) | Character | Name/Use |
| --- | --- | --- | --- |
| Punctuation | Alt+0159 | Ÿ | Latin capital Y with diaeresis |
| Punctuation | Alt+0161 | í | Latin small i with acute |
| Punctuation | Alt+0162 | ó | Latin small o with acute |
| Punctuation | Alt+0163 | ú | Latin small u with acute |
| Box drawing | Alt+0179 | │ | Box drawings light vertical |
| Box drawing | Alt+0180 | ┤ | Box drawings light vertical and left |
| Box drawing | Alt+0191 | ┐ | Box drawings light down and left |
| Box drawing | Alt+0192 | └ | Box drawings light up and right |
| Box drawing | Alt+0193 | ┴ | Box drawings light up and horizontal |
| Box drawing | Alt+0194 | ┬ | Box drawings light down and horizontal |
| Box drawing | Alt+0195 | ├ | Box drawings light vertical and right |
| Box drawing | Alt+0196 | ─ | Box drawings light horizontal |
| Box drawing | Alt+0217 | ┘ | Box drawings light up and left |
| Box drawing | Alt+0218 | ┌ | Box drawings light down and right |
