# Baby Names with Meaning and Origin (Quick Comparison)

| Name | Gender | Meaning | Origin |
|---|---|---|---|
| Eliana | Girl | "My God has answered" | Hebrew |
| Mateo | Boy | "Gift of God" | Spanish (from Hebrew) |
| Freya | Girl | "Lady" / associated with love and fertility | Old Norse |
| Niamh | Girl | "Bright" / "radiant" | Irish (Gaelic) |
| Idris | Boy | "Interpreter" / "studious" | Welsh |
| Leila | Girl | "Night" | Arabic |
| Soren | Boy | "Stern" / "severe" | Danish |
| Amara | Girl | "Grace" / "immortal" (varies by tradition) | Igbo (West African) / Sanskrit |
| Hugo | Boy | "Mind" / "intellect" | Germanic |
| Amina | Girl | "Trustworthy" / "faithful" | Arabic |
