# Bengaluru (Bangalore) City PIN Codes by Area (Karnataka, India)

| City | Area / Locality | PIN Code | Taluk / Sub-district | State |
| --- | --- | --- | --- | --- |
| Bengaluru | MG Road | 560001 | Bangalore North | Karnataka |
| Bengaluru | Shivajinagar | 560001 | Bangalore North | Karnataka |
| Bengaluru | Indiranagar | 560038 | Bangalore East | Karnataka |
| Bengaluru | Koramangala | 560034 | Bangalore South | Karnataka |
| Bengaluru | Jayanagar | 560041 | Bangalore South | Karnataka |
| Bengaluru | Whitefield | 560066 | Bangalore East | Karnataka |
| Bengaluru | Electronic City | 560100 | Bangalore South | Karnataka |
| Bengaluru | Yelahanka | 560064 | Bangalore North | Karnataka |
| Bengaluru | Malleshwaram | 560003 | Bangalore North | Karnataka |
| Bengaluru | Banashankari | 560050 | Bangalore South | Karnataka |
