# Antibiotic Options Mentioned for Prostatitis (Brand Generic Crosswalk Only)

| Generic name | Common brand names | Formulations (examples) | Route | Notes |
| --- | --- | --- | --- | --- |
| Ciprofloxacin | Cipro | tablet, suspension | Oral/IV | Fluoroquinolone |
| Levofloxacin | Levaquin | tablet, solution | Oral/IV | Fluoroquinolone |
| Trimethoprim-sulfamethoxazole | Bactrim, Septra | DS tablet, suspension | Oral/IV | Combination antibiotic |
| Doxycycline | Vibramycin, Doryx | capsule, tablet | Oral/IV | Tetracycline class |
| Azithromycin | Zithromax | tablet, suspension | Oral/IV | Macrolide |
| Fosfomycin | Monurol | sachet (granules) | Oral | Often used for urinary pathogens |
| Cefpodoxime | Vantin | tablet, suspension | Oral | Cephalosporin |
| Amoxicillin-clavulanate | Augmentin | tablet, suspension | Oral | Beta-lactam/beta-lactamase inhibitor |
| Gentamicin | Garamycin | injection | IV/IM | Aminoglycoside |
