# Celebrity Rehab with Dr. Drew
> Season 2

| Cast member | Notability | Addiction |
| --- | --- | --- |
| Steven Adler | Former Guns N' Roses drummer | Valium ; alcohol; heroin; cocaine [52] |
| Seth Binzer | Singer, returning from Season 1 after Dr. Drew learned of his relapse | Stimulants ( crack cocaine ) [53] |
| Gary Busey | Actor | Recovering cocaine addict, clean and sober for 13 years, though Pinsky questions his current use of medicinal marijuana for his asthma. [52] He appears as a counselor to the other patients. (See above) |
| Jeff Conaway | Actor, returning from Season 1 following back surgeries which increased his painkiller addiction | Opiates ( Oxycontin ); cocaine [52] |
| Rodney King | Became a U.S. civil rights figure when videotaped in 1991 being beaten by L.A.P.D. officers, whose later acquittal sparked violent riots in L.A. | Alcohol [52] |
| Tawny Kitaen | Actress and former model | Painkillers ( Demerol and Vicodin ) and cocaine [52] |
| Nikki McKibbin | Singer and former American Idol contestant | Cocaine, alcohol, Adderall , [52] painkillers [54] ( Vicodin [55] ); (McKibbin was formerly addicted to ecstasy as well. [54] ) |
| Amber Smith | Actress and model | Depressants , opiates (Valium, Xanax , Klonopin , Suboxone ) and stimulants (Adderall, Dexadrine ) [52] |
| Sean Stewart | Son of singer Rod Stewart . [51] | Alcohol; ecstasy; Vicodin; morphine ; Fentanyl ; cocaine; heroin [52] |
