# Guitar Hero III  Legends of Rock — Main Setlist (Selected Playable Songs)

| Year | Song title | Artist | Setlist context |
|---:|---|---|---|
| 1977 | "Slow Ride" | Foghat | Early-career opener in many versions |
| 1991 | "More Than a Feeling" | Boston | Classic rock anchor track |
| 1992 | "Cherub Rock" | The Smashing Pumpkins | Included as a playable track |
| 2003 | "Hit Me With Your Best Shot" | Pat Benatar | Included as a playable track |
| 2004 | "Miss Murder" | AFI | Modern rock selection |
| 2005 | "The Number of the Beast" | Iron Maiden | Metal staple track |
| 2006 | "Knights of Cydonia" | Muse | Late-game progressive/alternative pick |
| 2006 | "Cult of Personality" | Living Colour | Often a notable solo-heavy track |
| 1991 | "Raining Blood" | Slayer | High-difficulty metal track |
| 1981 | "Through the Fire and Flames" | DragonForce | Famous bonus/extra-hard selection |
