# Solar Composition and Key Photospheric Properties (Abundances + Temperature Luminosity)

| Element | Symbol | Mass fraction (approx.) | Number fraction (H=1) | Notes | Solar parameter (mixed) |
|---|---|---:|---:|---|---|
| Hydrogen | H | 0.738 | 1.000 | dominant | Effective temperature: 5772 K |
| Helium | He | 0.249 | 0.085 | second most abundant | Luminosity: 1 L☉ |
| Oxygen | O | 0.0096 | 0.00049 | major metal | Radius: 1 R☉ |
| Carbon | C | 0.0030 | 0.00027 | volatile | Surface gravity (log g): 4.44 |
| Neon | Ne | 0.0015 | 0.00009 | noble gas | Age: 4.57 Gyr |
| Iron | Fe | 0.0013 | 0.00003 | refractory | Rotation period: ~25 days |
| Nitrogen | N | 0.0011 | 0.00007 | volatile | Spectral type: G2V |
| Silicon | Si | 0.00065 | 0.00003 | refractory | Escape velocity: 617.5 km/s |
| Magnesium | Mg | 0.00058 | 0.00003 | refractory | Mean density: 1.41 g/cm³ |
| Sulfur | S | 0.00040 | 0.00002 | volatile | Solar constant: ~1361 W/m² |
