# Irish Counties by Land Area — Ranked List (km²) with Size Band

| Rank | County | Land area (km²) | Size band |
|---:|---|---:|---|
| 1 | Cork | 7498 | Very large |
| 2 | Galway | 6149 | Very large |
| 3 | Mayo | 5587 | Very large |
| 4 | Donegal | 4861 | Large |
| 5 | Kerry | 4807 | Large |
| 6 | Tipperary | 4305 | Large |
| 7 | Clare | 3452 | Medium |
| 8 | Wexford | 2352 | Medium |
| 9 | Kilkenny | 2072 | Medium |
| 10 | Wicklow | 2025 | Medium |
| 11 | Waterford | 1833 | Small |
| 12 | Sligo | 1838 | Small |
| 13 | Leitrim | 1590 | Small |
| 14 | Louth | 826 | Very small |
