# Healthy Grocery Basket Costs (Common Items, Typical Retail Prices)

| Location | Category | Specific Item | Unit | Price (USD) |
| --- | --- | --- | --- | --- |
| Los Angeles, CA | Produce | Organic spinach | 5 oz clamshell | $3.50–$5.00 |
| Los Angeles, CA | Produce | Blueberries | 6 oz package | $3.00–$5.50 |
| Los Angeles, CA | Protein | Chicken breast (boneless/skinless) | 1 lb | $4.50–$7.50 |
| Los Angeles, CA | Pantry | Brown rice | 2 lb bag | $2.50–$4.50 |
| Los Angeles, CA | Dairy/alt | Plain Greek yogurt | 32 oz tub | $4.50–$7.00 |
| Atlanta, GA | Produce | Avocados | each | $0.90–$1.80 |
| Atlanta, GA | Produce | Broccoli crowns | 1 lb | $1.50–$2.80 |
| Atlanta, GA | Protein | Canned tuna (in water) | 5 oz can | $1.00–$2.20 |
| Atlanta, GA | Pantry | Canned chickpeas | 15 oz can | $0.90–$1.60 |
| Minneapolis, MN | Protein | Eggs | dozen | $2.00–$4.50 |
| Minneapolis, MN | Pantry | Rolled oats | 42 oz canister | $3.50–$6.00 |
| Minneapolis, MN | Frozen | Frozen mixed vegetables | 12–16 oz bag | $1.50–$3.00 |
