# Cancer Survival Statistics by Site — 5-Year Relative Survival (Follow-up, Not Death Counts)

| Cancer Site | 5-Year Relative Survival (%) | Stage Considered | Study Period | Population | Notes |
|---|---:|---|---|---|---|
| Breast | 90.2 | All stages | 2012–2018 | US | Survival metric only |
| Prostate | 98.1 | All stages | 2012–2018 | US | No cause-of-death breakdown |
| Lung & bronchus | 21.7 | All stages | 2012–2018 | US | Follow-up outcomes |
| Colorectal | 64.4 | All stages | 2012–2018 | US | Not deaths by cause |
| Pancreas | 10.8 | All stages | 2012–2018 | US | Survival, not mortality counts |
| Liver & intrahepatic bile duct | 20.3 | All stages | 2012–2018 | US | Survival only |
| Melanoma of the skin | 92.3 | All stages | 2012–2018 | US | Not a ranked death list |
| Ovary | 48.6 | All stages | 2012–2018 | US | No death totals |
| Leukemia | 64.7 | All stages | 2012–2018 | US | No cause-of-death attribution |
| Brain & other nervous system | 35.0 | All stages | 2012–2018 | US | Outcome is survival rate |
